,index,PR,row,col,geometry,length,bool,midpoint,dist_midpoint,mean_R
0,0,PR31,22,48,"LINESTRING (574228.2564228408 4819259.366002325, 574230 4819256.953198547)",2.976857970901524,True,POINT (574229.1282114204 4819258.159600437),1.488428985073334,0.14917065
1,0,PR31,22,49,"LINESTRING (574230 4819256.953198547, 574231.4114502004 4819255)",2.4098083396753345,True,POINT (574230.7057251001 4819255.976599274),4.18176214032767,0.16219479
2,0,PR31,23,49,"LINESTRING (574231.4114502004 4819255, 574235 4819250.034078953)",6.126831278150648,True,POINT (574233.2057251001 4819252.517039476),8.450081949995518,0.1675525
3,0,PR31,23,50,"LINESTRING (574235 4819250.034078953, 574235.0246266542 4819250)",0.04204577417567529,True,POINT (574235.0123133271 4819250.017039476),11.534520476158681,0.16744399
4,0,PR31,24,50,"LINESTRING (574235.0246266542 4819250, 574238.6378031081 4819245)",6.168877052326324,True,POINT (574236.8312148812 4819247.5),14.639981889066343,0.16552794
5,0,PR31,25,50,"LINESTRING (574238.6378031081 4819245, 574240 4819243.114959358)",2.325716791323984,True,POINT (574239.318901554 4819244.05747968),18.887278810479977,0.1542756
6,0,PR31,25,51,"LINESTRING (574240 4819243.114959358, 574242.2509795619 4819240)",3.843160261002339,True,POINT (574241.1254897809 4819241.55747968),21.971717336643138,0.14994809
7,0,PR31,26,51,"LINESTRING (574242.2509795619 4819240, 574245 4819236.195839765)",4.693479356068788,True,POINT (574243.6254897809 4819238.097919882),26.24003714555613,0.15415153
8,0,PR31,26,52,"LINESTRING (574245 4819236.195839765, 574245.8641560158 4819235)",1.475397696257536,True,POINT (574245.4320780078 4819235.597919882),29.32447567171929,0.15614319
9,0,PR31,27,52,"LINESTRING (574245.8641560158 4819235, 574249.4773324695 4819230)",6.1688770522581375,True,POINT (574247.6707442426 4819232.5),33.146613045977126,0.16206639
10,0,PR31,28,52,"LINESTRING (574249.4773324695 4819230, 574250 4819229.27672017)",0.892364869310309,True,POINT (574249.7386662348 4819229.638360085),36.677234006795445,0.14142823
11,0,PR31,28,53,"LINESTRING (574250 4819229.27672017, 574253.0905089234 4819225)",5.276512183016014,True,POINT (574251.5452544617 4819227.138360085),39.761672532958606,0.13221729
12,0,PR31,29,53,"LINESTRING (574253.0905089234 4819225, 574255 4819222.357600575)",3.2601274348099682,True,POINT (574254.0452544617 4819223.678800288),44.0299923418716,0.083552144
13,0,PR31,29,54,"LINESTRING (574255 4819222.357600575, 574256.7036853773 4819220)",2.908749617516355,True,POINT (574255.8518426886 4819221.178800288),47.11443086803476,0.06791392
14,0,PR31,30,54,"LINESTRING (574256.7036853773 4819220, 574260 4819215.438480981)",5.627890000309628,True,POINT (574258.3518426886 4819217.71924049),51.38275067694775,0.049911413
15,0,PR31,30,55,"LINESTRING (574260 4819215.438480981, 574260.3168618311 4819215)",0.5409870520166958,True,POINT (574260.1584309156 4819215.21924049),54.46718920311091,0.041374154
16,0,PR31,31,55,"LINESTRING (574260.3168618311 4819215, 574263.930038285 4819210)",6.168877052326324,True,POINT (574262.123450058 4819212.5),57.822121255282426,0.03707991
17,0,PR31,32,55,"LINESTRING (574263.930038285 4819210, 574265 4819208.519361386)",1.8267755134829635,True,POINT (574264.4650191425 4819209.259680693),61.819947538187066,0.032062504
18,0,PR31,32,56,"LINESTRING (574265 4819208.519361386, 574267.5432147388 4819205)",4.34210153884336,True,POINT (574266.2716073694 4819206.759680693),64.90438606435023,0.026723329
19,0,PR31,33,56,"LINESTRING (574267.5432147388 4819205, 574270 4819201.600241792)",4.194538078227767,True,POINT (574268.7716073694 4819203.300120896),69.17270587326323,0.02190465
20,0,PR31,33,57,"LINESTRING (574270 4819201.600241792, 574271.1563911927 4819200)",1.9743389740985564,True,POINT (574270.5781955963 4819200.800120896),72.25714439942638,0.017732698
21,0,PR31,34,57,"LINESTRING (574271.1563911927 4819200, 574274.7695676466 4819195)",6.168877052326324,True,POINT (574272.9629794196 4819197.5),76.3287524122614,0.009949926
22,0,PR31,35,57,"LINESTRING (574274.7695676466 4819195, 574275 4819194.681122198)",0.3934235914011029,True,POINT (574274.8847838233 4819194.840561099),79.60990273374767,0.017938467
23,0,PR31,35,58,"LINESTRING (574275 4819194.681122198, 574278.3827441004 4819190)",5.77545346092522,True,POINT (574276.6913720502 4819192.340561099),82.69434125991084,0.015640052
24,0,PR31,36,58,"LINESTRING (574278.3827441004 4819190, 574280 4819187.762002603)",2.761186156900762,True,POINT (574279.1913720502 4819188.881001301),86.96266106957869,0.012420304
25,0,PR31,36,59,"LINESTRING (574280 4819187.762002603, 574281.9959205543 4819185)",3.4076908954255614,True,POINT (574280.9979602771 4819186.381001301),90.04709959574186,0.015503953
26,0,PR31,37,59,"LINESTRING (574281.9959205543 4819185, 574285 4819180.842883009)",5.1289487224004215,True,POINT (574283.4979602771 4819182.921441505),94.31541940389998,0.013770662
27,0,PR31,37,60,"LINESTRING (574285 4819180.842883009, 574285.609097008 4819180)",1.0399283298577162,True,POINT (574285.3045485041 4819180.421441505),97.39985793006315,0.0137348045
28,0,PR31,38,60,"LINESTRING (574285.609097008 4819180, 574289.2222734619 4819175)",6.168877052326324,True,POINT (574287.4156852349 4819177.5),101.0042606214985,0.011040493
29,0,PR31,39,60,"LINESTRING (574289.2222734619 4819175, 574290 4819173.923763414)",1.327834235641943,True,POINT (574289.611136731 4819174.461881706),104.75261626589415,0.012291314
30,0,PR31,39,61,"LINESTRING (574290 4819173.923763414, 574292.8354499157 4819170)",4.84104281668438,True,POINT (574291.4177249579 4819171.961881706),107.83705479205732,0.016138434
31,0,PR31,40,61,"LINESTRING (574292.8354499157 4819170, 574295 4819167.00464382)",3.6955968003867463,True,POINT (574293.9177249579 4819168.50232191),112.10537460021546,0.01383381
32,0,PR31,40,62,"LINESTRING (574295 4819167.00464382, 574296.4486263696 4819165)",2.473280251939577,True,POINT (574295.7243131849 4819166.00232191),115.18981312637861,0.01781889
