,index,PR,row,col,geometry,length,bool,midpoint,dist_midpoint,mean_R
0,0,PR62,5,75,"LINESTRING (574363.0716613792 4819341.457453982, 574364.1248690613 4819340)",1.7981708848706501,True,POINT (574363.5982652202 4819340.728726991),0.8990854427786602,0.20711735
1,0,PR62,6,75,"LINESTRING (574364.1248690613 4819340, 574365 4819338.788972875)",1.4941354882112132,True,POINT (574364.5624345306 4819339.394486438),2.545238628942164,0.18958177
2,0,PR62,6,76,"LINESTRING (574365 4819338.788972875, 574367.738045515 4819335)",4.674741564046925,True,POINT (574366.3690227575 4819336.894486438),5.629677155105326,0.18471359
3,0,PR62,7,76,"LINESTRING (574367.738045515 4819335, 574370 4819331.86985328)",3.861898053779058,True,POINT (574368.8690227575 4819333.43492664),9.897996964018317,0.16641402
4,0,PR62,7,77,"LINESTRING (574370 4819331.86985328, 574371.3512219689 4819330)",2.3069789985472653,True,POINT (574370.6756109844 4819330.93492664),12.982435490181478,0.1642907
5,0,PR62,8,77,"LINESTRING (574371.3512219689 4819330, 574374.9643984227 4819325)",6.168877052326324,True,POINT (574373.1578101958 4819327.5),17.22036351561827,0.14988987
6,0,PR62,9,77,"LINESTRING (574374.9643984227 4819325, 574375 4819324.950733686)",0.060783566952394015,True,POINT (574374.9821992114 4819324.975366843),20.335193825257633,0.13759418
7,0,PR62,9,78,"LINESTRING (574375 4819324.950733686, 574378.5775748766 4819320)",6.10809348537393,True,POINT (574376.7887874383 4819322.475366843),23.419632351420795,0.13658163
8,0,PR62,10,78,"LINESTRING (574378.5775748766 4819320, 574380 4819318.031614091)",2.428546132452053,True,POINT (574379.2887874383 4819319.015807046),27.687952160333786,0.12938882
9,0,PR62,10,79,"LINESTRING (574380 4819318.031614091, 574382.1907513305 4819315)",3.74033091987427,True,POINT (574381.0953756652 4819316.515807046),30.772390686496948,0.13272166
10,0,PR62,11,79,"LINESTRING (574382.1907513305 4819315, 574385 4819311.112494497)",4.796308697951712,True,POINT (574383.5953756652 4819313.056247248),35.04071049540994,0.13262233
11,0,PR62,11,80,"LINESTRING (574385 4819311.112494497, 574385.8039277842 4819310)",1.372568354306425,True,POINT (574385.4019638922 4819310.556247248),38.1251490215731,0.13155824
12,0,PR62,12,80,"LINESTRING (574385.8039277842 4819310, 574389.4171042381 4819305)",6.168877052326324,True,POINT (574387.6105160111 4819307.5),41.89587172485538,0.1297791
13,0,PR62,13,80,"LINESTRING (574389.4171042381 4819305, 574390 4819304.193374902)",0.9951942111932343,True,POINT (574389.7085521191 4819304.596687451),45.47790735664925,0.12159253
14,0,PR62,13,81,"LINESTRING (574390 4819304.193374902, 574393.0302806919 4819300)",5.173682841133089,True,POINT (574391.515140346 4819302.096687451),48.562345882812416,0.10290922
15,0,PR62,14,81,"LINESTRING (574393.0302806919 4819300, 574395 4819297.274255308)",3.3629567759380374,True,POINT (574394.015140346 4819298.637127655),52.830665690970555,0.099381454
16,0,PR62,14,82,"LINESTRING (574395 4819297.274255308, 574396.6434571458 4819295)",2.8059202763882856,True,POINT (574395.8217285729 4819296.137127655),55.91510421713371,0.07934819
17,0,PR62,15,82,"LINESTRING (574396.6434571458 4819295, 574400 4819290.355135714)",5.7307193414376965,True,POINT (574398.3217285729 4819292.677567856),60.18342402680156,0.08048373
18,0,PR62,15,83,"LINESTRING (574400 4819290.355135714, 574400.2566335996 4819290)",0.4381577108886265,True,POINT (574400.1283167999 4819290.177567856),63.26786255296472,0.0720159
19,0,PR62,16,83,"LINESTRING (574400.2566335996 4819290, 574403.8698100534 4819285)",6.1688770522581375,True,POINT (574402.0632218265 4819287.5),66.57137993409249,0.07057465
20,0,PR62,17,83,"LINESTRING (574403.8698100534 4819285, 574405 4819283.436016119)",1.9296048546792186,True,POINT (574404.4349050267 4819284.21800806),70.62062088721783,0.072160654
21,0,PR62,17,84,"LINESTRING (574405 4819283.436016119, 574407.4829865072 4819280)",4.2392721976471055,True,POINT (574406.2414932536 4819281.71800806),73.705059413381,0.060064062
22,0,PR62,18,84,"LINESTRING (574407.4829865072 4819280, 574410 4819276.516896524)",4.297367420178878,True,POINT (574408.7414932536 4819278.258448262),77.97337922304884,0.057698745
23,0,PR62,18,85,"LINESTRING (574410 4819276.516896524, 574411.0961629611 4819275)",1.8715096321474456,True,POINT (574410.5480814805 4819275.758448262),81.057817749212,0.052722294
24,0,PR62,19,85,"LINESTRING (574411.0961629611 4819275, 574414.709339415 4819270)",6.168877052326324,True,POINT (574412.902751188 4819272.5),85.07801109107146,0.05479133
25,0,PR62,20,85,"LINESTRING (574414.709339415 4819270, 574415 4819269.59777693)",0.49625293335221377,True,POINT (574414.8546697075 4819269.798888465),88.4105760835333,0.061447155
26,0,PR62,20,86,"LINESTRING (574415 4819269.59777693, 574418.3225158688 4819265)",5.67262411897411,True,POINT (574416.6612579344 4819267.298888465),91.49501460969645,0.06278575
27,0,PR62,21,86,"LINESTRING (574418.3225158688 4819265, 574420 4819262.678657335)",2.864015498851873,True,POINT (574419.1612579344 4819263.839328667),95.76333441936431,0.06493522
28,0,PR62,21,87,"LINESTRING (574420 4819262.678657335, 574421.9356923226 4819260)",3.3048615534062646,True,POINT (574420.9678461612 4819261.339328667),98.84777294545928,0.053411033
29,0,PR62,22,87,"LINESTRING (574421.9356923226 4819260, 574425 4819255.759537742)",5.231778063664862,True,POINT (574423.4678461612 4819257.879768871),103.11609275361742,0.042240463
30,0,PR62,22,88,"LINESTRING (574425 4819255.759537742, 574425.5488687764 4819255)",0.9370989886614612,True,POINT (574425.2744343881 4819255.379768871),106.20053127978058,0.025570257
31,0,PR62,23,88,"LINESTRING (574425.5488687764 4819255, 574429.1620452303 4819250)",6.168877052326324,True,POINT (574427.3554570033 4819252.5),109.75351930030857,0.019837812
32,0,PR62,24,88,"LINESTRING (574429.1620452303 4819250, 574430 4819248.840418147)",1.430663576838198,True,POINT (574429.5810226151 4819249.420209073),113.55328961485674,0.010181364
33,0,PR62,24,89,"LINESTRING (574430 4819248.840418147, 574432.7752216841 4819245)",4.738213475488125,True,POINT (574431.387610842 4819246.920209073),116.6377281410199,0.011068123
