,index,PR,row,col,geometry,length,bool,midpoint,dist_midpoint,mean_R
0,0,PR58,7,71,"LINESTRING (574344.6193672232 4819333.092445936, 574345 4819332.565717195)",0.6498649684606905,True,POINT (574344.8096836116 4819332.829081565),0.3249324846077732,0.1939306
1,0,PR58,7,72,"LINESTRING (574345 4819332.565717195, 574346.8540777914 4819330)",3.165518785645741,True,POINT (574345.9270388957 4819331.282858597),2.232624361626896,0.19028127
2,0,PR58,8,72,"LINESTRING (574346.8540777914 4819330, 574350 4819325.646597601)",5.3711208321802415,True,POINT (574348.4270388957 4819327.823298801),6.500944169785032,0.16914365
3,0,PR58,8,73,"LINESTRING (574350 4819325.646597601, 574350.4672542452 4819325)",0.797756220077896,True,POINT (574350.2336271226 4819325.323298801),9.585382695948194,0.15887329
4,0,PR58,9,73,"LINESTRING (574350.4672542452 4819325, 574354.080430699 4819320)",6.168877052326324,True,POINT (574352.2738424721 4819322.5),13.06869933252773,0.14978603
5,0,PR58,10,73,"LINESTRING (574354.080430699 4819320, 574355 4819318.727478006)",1.5700063454217632,True,POINT (574354.5402153495 4819319.363739002),16.938141031779203,0.12774107
6,0,PR58,10,74,"LINESTRING (574355 4819318.727478006, 574357.6936071528 4819315)",4.598870706836374,True,POINT (574356.3468035765 4819316.863739002),20.022579557942365,0.124428436
7,0,PR58,11,74,"LINESTRING (574357.6936071528 4819315, 574360 4819311.808358411)",3.9377689109896084,True,POINT (574358.8468035765 4819313.404179206),24.2908993661005,0.12167919
8,0,PR58,11,75,"LINESTRING (574360 4819311.808358411, 574361.3067836066 4819310)",2.231108141336715,True,POINT (574360.6533918034 4819310.904179206),27.375337892263662,0.118724346
9,0,PR58,12,75,"LINESTRING (574361.3067836066 4819310, 574364.9199600605 4819305)",6.168877052326324,True,POINT (574363.1133718336 4819307.5),31.575330489438517,0.11217556
10,0,PR58,13,75,"LINESTRING (574364.9199600605 4819305, 574365 4819304.889238818)",0.13665442340808837,True,POINT (574364.9599800303 4819304.944619409),34.72809622733981,0.11464315
