,index,PR,row,col,geometry,length,bool,midpoint,dist_midpoint,mean_R
0,0,PR53,9,67,"LINESTRING (574321.0363120369 4819323.374021625, 574323.474499135 4819320)",4.162784915467662,True,POINT (574322.255405586 4819321.687010813),2.081392457733831,0.17963678
1,0,PR53,10,67,"LINESTRING (574323.474499135 4819320, 574325 4819317.888975414)",2.6045302243945248,True,POINT (574324.2372495675 4819318.944487708),5.4650500272874964,0.16937135
2,0,PR53,10,68,"LINESTRING (574325 4819317.888975414, 574327.087675589 4819315)",3.564346827999984,True,POINT (574326.0438377946 4819316.444487708),8.549488553518843,0.15486751
3,0,PR53,11,68,"LINESTRING (574327.087675589 4819315, 574330 4819310.969855821)",4.972292789071143,True,POINT (574328.5438377946 4819312.98492791),12.817808362431835,0.16150224
4,0,PR53,11,69,"LINESTRING (574330 4819310.969855821, 574330.7008520429 4819310)",1.1965842632551809,True,POINT (574330.3504260215 4819310.48492791),15.902246888594997,0.14634006
5,0,PR53,12,69,"LINESTRING (574330.7008520429 4819310, 574334.3140284967 4819305)",6.168877052326324,True,POINT (574332.5074402698 4819307.5),19.584977546351656,0.14056352
6,0,PR53,13,69,"LINESTRING (574334.3140284967 4819305, 574335 4819304.050736226)",1.1711783022444784,True,POINT (574334.6570142484 4819304.525368113),23.25500522367115,0.14637473
7,0,PR53,13,70,"LINESTRING (574335 4819304.050736226, 574337.9272049506 4819300)",4.997698750081844,True,POINT (574336.4636024754 4819302.025368113),26.339443749834313,0.14521475
8,0,PR53,14,70,"LINESTRING (574337.9272049506 4819300, 574340 4819297.131616632)",3.538940867744138,True,POINT (574338.9636024754 4819298.565808317),30.607763557992445,0.1439846
9,0,PR53,14,71,"LINESTRING (574340 4819297.131616632, 574341.5403814045 4819295)",2.629936184582186,True,POINT (574340.7701907023 4819296.065808316),33.69220208491046,0.14229235
10,0,PR53,15,71,"LINESTRING (574341.5403814045 4819295, 574345 4819290.212497037)",5.906703433243797,True,POINT (574343.2701907023 4819292.606248518),37.960521893823454,0.12148555
11,0,PR53,15,72,"LINESTRING (574345 4819290.212497037, 574345.1535578584 4819290)",0.262173619150712,True,POINT (574345.0767789292 4819290.106248518),41.044960419986616,0.1252421
12,0,PR53,16,72,"LINESTRING (574345.1535578584 4819290, 574348.7667343123 4819285)",6.168877052326324,True,POINT (574346.9601460854 4819287.5),44.260485755725135,0.09109895
13,0,PR53,17,72,"LINESTRING (574348.7667343123 4819285, 574350 4819283.293377443)",2.1055889455940915,True,POINT (574349.3833671561 4819284.146688722),48.39771875430792,0.06375109
14,0,PR53,17,73,"LINESTRING (574350 4819283.293377443, 574352.3799107661 4819280)",4.063288106732232,True,POINT (574351.1899553831 4819281.646688722),51.48215728047108,0.063973255
15,0,PR53,18,73,"LINESTRING (574352.3799107661 4819280, 574355 4819276.374257849)",4.4733515110937505,True,POINT (574353.6899553831 4819278.187128924),55.75047709013892,0.0476053
16,0,PR53,18,74,"LINESTRING (574355 4819276.374257849, 574355.99308722 4819275)",1.6955255412325727,True,POINT (574355.49654361 4819275.687128924),58.834915616302084,0.058037575
17,0,PR53,19,74,"LINESTRING (574355.99308722 4819275, 574359.6062636739 4819270)",6.168877052326324,True,POINT (574357.7996754469 4819272.5),62.767116912704104,0.05069931
18,0,PR53,20,74,"LINESTRING (574359.6062636739 4819270, 574360 4819269.455138254)",0.6722370242670866,True,POINT (574359.8031318369 4819269.727569127),66.18767395062338,0.040919397
19,0,PR53,20,75,"LINESTRING (574360 4819269.455138254, 574363.2194401278 4819265)",5.496640028127422,True,POINT (574361.6097200639 4819267.227569127),69.27211247678655,0.04582622
20,0,PR53,21,75,"LINESTRING (574363.2194401278 4819265, 574365 4819262.53601866)",3.0399995889437044,True,POINT (574364.1097200639 4819263.76800933),73.54043228569954,0.042614825
