,index,PR,row,col,geometry,length,bool,midpoint,dist_midpoint,mean_R
0,0,PR46,13,61,"LINESTRING (574291.7962866654 4819302.662389426, 574293.720223222 4819300)",3.2847906063325265,True,POINT (574292.7582549436 4819301.331194713),1.6423953031321703,0.18772106
1,0,PR46,14,61,"LINESTRING (574293.720223222 4819300, 574295 4819298.229014284)",2.1849986287754484,True,POINT (574294.360111611 4819299.114507142),4.37728992030873,0.17630267
2,0,PR46,14,62,"LINESTRING (574295 4819298.229014284, 574297.3333996759 4819295)",3.9838784235508746,True,POINT (574296.1666998379 4819296.614507142),7.461728446471891,0.16990003
3,0,PR46,15,62,"LINESTRING (574297.3333996759 4819295, 574300 4819291.309894689)",4.552761194275107,True,POINT (574298.6666998379 4819293.154947344),11.730048256139739,0.17067789
4,0,PR46,15,63,"LINESTRING (574300 4819291.309894689, 574300.9465761296 4819290)",1.6161158579830301,True,POINT (574300.4732880648 4819290.654947344),14.8144867823029,0.17219894
5,0,PR46,16,63,"LINESTRING (574300.9465761296 4819290, 574304.5597525835 4819285)",6.168877052326324,True,POINT (574302.7531643566 4819287.5),18.70698323708015,0.17450315
6,0,PR46,17,63,"LINESTRING (574304.5597525835 4819285, 574305 4819284.390775095)",0.7516467075166293,True,POINT (574304.7798762918 4819284.695387548),22.167245116624198,0.16036887
7,0,PR46,17,64,"LINESTRING (574305 4819284.390775095, 574308.1729290374 4819280)",5.417230344809694,True,POINT (574306.5864645187 4819282.195387548),25.25168364278736,0.1550031
8,0,PR46,18,64,"LINESTRING (574308.1729290374 4819280, 574310 4819277.4716555)",3.1194092730162883,True,POINT (574309.0864645187 4819278.73582775),29.520003452455207,0.11221304
9,0,PR46,18,65,"LINESTRING (574310 4819277.4716555, 574311.7861054911 4819275)",3.049467779241849,True,POINT (574310.8930527456 4819276.23582775),32.60444197861837,0.09677902
10,0,PR46,19,65,"LINESTRING (574311.7861054911 4819275, 574315 4819270.552535906)",5.487171838584134,True,POINT (574313.3930527456 4819272.776267953),36.8727617867765,0.07212103
11,0,PR46,19,66,"LINESTRING (574315 4819270.552535906, 574315.399281945 4819270)",0.6817052137421898,True,POINT (574315.1996409725 4819270.276267953),39.95720031293966,0.06554298
12,0,PR46,20,66,"LINESTRING (574315.399281945 4819270, 574319.0124583988 4819265)",6.168877052326324,True,POINT (574317.2058701719 4819267.5),43.38249144631725,0.05210685
13,0,PR46,21,66,"LINESTRING (574319.0124583988 4819265, 574320 4819263.633416312)",1.6860573510026136,True,POINT (574319.5062291995 4819264.316708156),47.309958648015815,0.04278515
14,0,PR46,21,67,"LINESTRING (574320 4819263.633416312, 574322.6256348526 4819260)",4.482819701255524,True,POINT (574321.3128174263 4819261.816708156),50.3943971741108,0.040933184
15,0,PR46,22,67,"LINESTRING (574322.6256348526 4819260, 574325 4819256.714296717)",4.0538199165704585,True,POINT (574323.8128174263 4819258.357148359),54.662716983023785,0.03560629
16,0,PR46,22,68,"LINESTRING (574325 4819256.714296717, 574326.2388113064 4819255)",2.115057135755865,True,POINT (574325.6194056532 4819255.857148359),57.747155509186946,0.019883433
17,0,PR46,23,68,"LINESTRING (574326.2388113064 4819255, 574329.8519877603 4819250)",6.168877052326324,True,POINT (574328.0453995334 4819252.5),61.88912260322804,0.02349255
18,0,PR46,24,68,"LINESTRING (574329.8519877603 4819250, 574330 4819249.795177123)",0.2527054297437945,True,POINT (574329.9259938801 4819249.897588561),65.0999138442631,0.018112568
19,0,PR46,24,69,"LINESTRING (574330 4819249.795177123, 574333.4651642141 4819245)",5.916171622582529,True,POINT (574331.7325821071 4819247.397588561),68.18435237042627,0.015044275
20,0,PR46,25,69,"LINESTRING (574333.4651642141 4819245, 574335 4819242.876057528)",2.620467995243454,True,POINT (574334.2325821071 4819243.938028764),72.45267217933926,0.014267065
21,0,PR46,25,70,"LINESTRING (574335 4819242.876057528, 574337.0783406679 4819240)",3.548409057014684,True,POINT (574336.0391703339 4819241.438028764),75.53711070543423,0.014365724
22,0,PR46,26,70,"LINESTRING (574337.0783406679 4819240, 574340 4819235.956937933)",4.9882305608112985,True,POINT (574338.5391703339 4819237.978468967),79.80543051434722,0.012853406
23,0,PR46,26,71,"LINESTRING (574340 4819235.956937933, 574340.6915171217 4819235)",1.1806464915150245,True,POINT (574340.3457585608 4819235.478468967),82.88986904051038,0.012345474
24,0,PR46,27,71,"LINESTRING (574340.6915171217 4819235, 574344.3046935756 4819230)",6.168877052326324,True,POINT (574342.4981053487 4819232.5),86.56463081246515,0.013069155
25,0,PR46,28,71,"LINESTRING (574344.3046935756 4819230, 574345 4819229.037818339)",1.1871160739846347,True,POINT (574344.6523467877 4819229.518909169),90.24262737558654,0.013802785
26,0,PR46,28,72,"LINESTRING (574345 4819229.037818339, 574347.9178700293 4819225)",4.981760978273503,True,POINT (574346.4589350147 4819227.018909169),93.3270659017497,0.012379428
27,0,PR46,29,72,"LINESTRING (574347.9178700293 4819225, 574350 4819222.118698744)",3.5548786395524794,True,POINT (574348.9589350147 4819223.559349372),97.5953857106627,0.002114386
28,0,PR46,29,73,"LINESTRING (574350 4819222.118698744, 574351.5310464832 4819220)",2.6139984127738436,True,POINT (574350.7655232416 4819221.059349372),100.67982423682585,0.010608
29,0,PR46,30,73,"LINESTRING (574351.5310464832 4819220, 574355 4819215.199579149)",5.922641205052139,True,POINT (574353.2655232416 4819217.599789575),104.94814404573884,0.011844591
