,index,PR,row,col,geometry,length,bool,midpoint,dist_midpoint,mean_R
0,0,PR56,7,69,"LINESTRING (574334.7378595772 4819330.269158036, 574334.9323626724 4819330)",0.3320805657348285,True,POINT (574334.8351111248 4819330.134579018),0.16604028286741426,0.18147622
1,0,PR56,8,69,"LINESTRING (574334.9323626724 4819330, 574335 4819329.906401848)",0.11547909794849177,True,POINT (574334.9661813362 4819329.953200924),0.38982011470907446,0.18780719
2,0,PR56,8,70,"LINESTRING (574335 4819329.906401848, 574338.5455391263 4819325)",6.053397954377831,True,POINT (574336.7727695631 4819327.453200924),3.474258640872236,0.17842701
3,0,PR56,9,70,"LINESTRING (574338.5455391263 4819325, 574340 4819322.987282254)",2.483241663448151,True,POINT (574339.2727695631 4819323.993641127),7.742578449785227,0.16150919
4,0,PR56,9,71,"LINESTRING (574340 4819322.987282254, 574342.1587155801 4819320)",3.6856353888781723,True,POINT (574341.0793577901 4819321.493641127),10.82701697594839,0.15301707
5,0,PR56,10,71,"LINESTRING (574342.1587155801 4819320, 574345 4819316.068162659)",4.851004228947811,True,POINT (574343.5793577901 4819318.03408133),15.09533678486138,0.1372203
6,0,PR56,10,72,"LINESTRING (574345 4819316.068162659, 574345.7718920339 4819315)",1.3178728233103274,True,POINT (574345.385946017 4819315.53408133),18.179775311024542,0.13414495
7,0,PR56,11,72,"LINESTRING (574345.7718920339 4819315, 574349.3850684877 4819310)",6.168877052326324,True,POINT (574347.5784802608 4819312.5),21.923150248808774,0.126429
8,0,PR56,12,72,"LINESTRING (574349.3850684877 4819310, 574350 4819309.149043065)",1.049889742189332,True,POINT (574349.6925342439 4819309.574521532),25.532533646100696,0.12706688
9,0,PR56,12,73,"LINESTRING (574350 4819309.149043065, 574352.9982449416 4819305)",5.118987310136991,True,POINT (574351.4991224709 4819307.074521532),28.616972172263857,0.12600785
10,0,PR56,13,73,"LINESTRING (574352.9982449416 4819305, 574355 4819302.22992347)",3.4176523076889915,True,POINT (574353.9991224709 4819303.614961735),32.88529198117685,0.12978995
11,0,PR56,13,74,"LINESTRING (574355 4819302.22992347, 574356.6114213953 4819300)",2.7512247445691465,True,POINT (574355.8057106977 4819301.114961735),35.96973050727183,0.117632315
12,0,PR56,14,74,"LINESTRING (574356.6114213953 4819300, 574360 4819295.310803876)",5.78541487250198,True,POINT (574358.3057106977 4819297.655401938),40.23805031618482,0.13414912
13,0,PR56,14,75,"LINESTRING (574360 4819295.310803876, 574360.2245978492 4819295)",0.38346217982434305,True,POINT (574360.1122989246 4819295.155401938),43.32248884234798,0.1337994
14,0,PR56,15,75,"LINESTRING (574360.2245978492 4819295, 574363.837774303 4819290)",6.168877052326324,True,POINT (574362.0311860761 4819292.5),46.59865845804588,0.13885179
15,0,PR56,16,75,"LINESTRING (574363.837774303 4819290, 574365 4819288.391684282)",1.984300385675316,True,POINT (574364.4188871515 4819289.195842141),50.675247176669274,0.107672535
16,0,PR56,16,76,"LINESTRING (574365 4819288.391684282, 574367.4509507568 4819285)",4.184576666582821,True,POINT (574366.2254753783 4819286.695842141),53.75968570276425,0.11849721
17,0,PR56,17,76,"LINESTRING (574367.4509507568 4819285, 574370 4819281.472564687)",4.352062951243161,True,POINT (574368.7254753783 4819283.236282343),58.028005512432095,0.09010355
18,0,PR56,17,77,"LINESTRING (574370 4819281.472564687, 574371.0641272106 4819280)",1.816814101083162,True,POINT (574370.5320636053 4819280.736282343),61.112444038595264,0.10369862
19,0,PR56,18,77,"LINESTRING (574371.0641272106 4819280, 574374.6773036645 4819275)",6.168877052326324,True,POINT (574372.8707154376 4819277.5),65.10528961495666,0.07796414
20,0,PR56,19,77,"LINESTRING (574374.6773036645 4819275, 574375 4819274.553445092)",0.5509484644164971,True,POINT (574374.8386518322 4819274.776722547),68.46520237291656,0.051578693
21,0,PR56,19,78,"LINESTRING (574375 4819274.553445092, 574378.2904801184 4819270)",5.617928587909826,True,POINT (574376.6452400591 4819272.276722547),71.54964089907972,0.059917476
22,0,PR56,20,78,"LINESTRING (574378.2904801184 4819270, 574380 4819267.634325498)",2.9187110299161563,True,POINT (574379.1452400591 4819268.817162748),75.81796070874756,0.067163065
23,0,PR56,20,79,"LINESTRING (574380 4819267.634325498, 574381.9036565721 4819265)",3.2501660223419813,True,POINT (574380.9518282861 4819266.317162748),78.90239923491073,0.068333454
24,0,PR56,21,79,"LINESTRING (574381.9036565721 4819265, 574385 4819260.715205903)",5.286473595484002,True,POINT (574383.4518282861 4819262.857602952),83.17071904306887,0.06534641
25,0,PR56,21,80,"LINESTRING (574385 4819260.715205903, 574385.516833026 4819260)",0.8824034568423219,True,POINT (574385.258416513 4819260.357602951),86.25515756998688,0.06539399
26,0,PR56,22,80,"LINESTRING (574385.516833026 4819260, 574389.1300094798 4819255)",6.168877052326324,True,POINT (574387.3234212529 4819257.5),89.78079782419378,0.061997432
27,0,PR56,23,80,"LINESTRING (574389.1300094798 4819255, 574390 4819253.796086309)",1.4853591086573372,True,POINT (574389.5650047399 4819254.398043154),93.60791590506304,0.059648845
28,0,PR56,23,81,"LINESTRING (574390 4819253.796086309, 574392.7431859336 4819250)",4.6835179436008,True,POINT (574391.3715929668 4819251.898043154),96.69235443122619,0.06522353
29,0,PR56,24,81,"LINESTRING (574392.7431859336 4819250, 574395 4819246.876966715)",3.8531216734703264,True,POINT (574393.8715929668 4819248.438483357),100.96067423938433,0.056616962
