,index,PR,row,col,geometry,length,bool,midpoint,dist_midpoint,mean_R
0,0,PR43,15,58,"LINESTRING (574279.8513992617 4819292.919183927, 574280 4819292.713546671)",0.25371018965996367,True,POINT (574279.9256996309 4819292.816365299),0.12685509482998183,0.15164693
1,0,PR43,15,59,"LINESTRING (574280 4819292.713546671, 574281.9609045874 4819290)",3.3479071576842965,True,POINT (574280.9804522938 4819291.356773335),1.9276637685362048,0.16678458
2,0,PR43,16,59,"LINESTRING (574281.9609045874 4819290, 574285 4819285.794427076)",5.188732460141686,True,POINT (574283.4804522938 4819287.897213538),6.195983577449196,0.16701625
3,0,PR43,16,60,"LINESTRING (574285 4819285.794427076, 574285.5740810413 4819285)",0.9801445921846371,True,POINT (574285.2870405207 4819285.397213538),9.280422103612358,0.16614123
4,0,PR43,17,60,"LINESTRING (574285.5740810413 4819285, 574289.1872574951 4819280)",6.168877052326324,True,POINT (574287.3806692682 4819282.5),12.854932925833745,0.15739745
5,0,PR43,18,60,"LINESTRING (574289.1872574951 4819280, 574290 4819278.875307482)",1.3876179733150222,True,POINT (574289.5936287476 4819279.437653741),16.633180438688512,0.15120508
6,0,PR43,18,61,"LINESTRING (574290 4819278.875307482, 574292.8004339489 4819275)",4.7812590789431155,True,POINT (574291.4002169744 4819276.937653741),19.717618964783487,0.15205048
7,0,PR43,19,61,"LINESTRING (574292.8004339489 4819275, 574295 4819271.956187887)",3.755380538882867,True,POINT (574293.9002169744 4819273.478093944),23.98593877369648,0.13657866
8,0,PR43,19,62,"LINESTRING (574295 4819271.956187887, 574296.4136104027 4819270)",2.4134965134434565,True,POINT (574295.7068052014 4819270.978093944),27.07037729985964,0.12153459
9,0,PR43,20,62,"LINESTRING (574296.4136104027 4819270, 574300 4819265.037068292)",6.123143104382526,True,POINT (574298.2068052014 4819267.518534146),31.33869710877263,0.09122791
10,0,PR43,20,63,"LINESTRING (574300 4819265.037068292, 574300.0267868566 4819265)",0.04573394794379699,True,POINT (574300.0133934283 4819265.018534146),34.4231356349358,0.08051954
11,0,PR43,21,63,"LINESTRING (574300.0267868566 4819265, 574303.6399633104 4819260)",6.168877052326324,True,POINT (574301.8333750835 4819262.5),37.53044113507085,0.06337469
12,0,PR43,22,63,"LINESTRING (574303.6399633104 4819260, 574305 4819258.117948699)",2.3220286168010067,True,POINT (574304.3199816552 4819259.05897435),41.77589396925709,0.052402087
13,0,PR43,22,64,"LINESTRING (574305 4819258.117948699, 574307.2531397643 4819255)",3.846848435525317,True,POINT (574306.1265698822 4819256.55897435),44.86033249542025,0.045715652
14,0,PR43,23,64,"LINESTRING (574307.2531397643 4819255, 574310 4819251.198829104)",4.689791182300666,True,POINT (574308.6265698822 4819253.099414552),49.1286523050881,0.038217757
15,0,PR43,23,65,"LINESTRING (574310 4819251.198829104, 574310.8663162182 4819250)",1.4790858700256577,True,POINT (574310.4331581091 4819250.599414552),52.213090831251264,0.031788696
16,0,PR43,24,65,"LINESTRING (574310.8663162182 4819250, 574314.479492672 4819245)",6.168877052326324,True,POINT (574312.6729044451 4819247.5),56.03707229204983,0.03035197
17,0,PR43,25,65,"LINESTRING (574314.479492672 4819245, 574315 4819244.27970951)",0.8886766954740016,True,POINT (574314.739746336 4819244.639854755),59.56584916557256,0.02905057
18,0,PR43,25,66,"LINESTRING (574315 4819244.27970951, 574318.0926691259 4819240)",5.280200356852322,True,POINT (574316.5463345629 4819242.139854755),62.65028769173572,0.028369773
19,0,PR43,26,66,"LINESTRING (574318.0926691259 4819240, 574320 4819237.360589915)",3.256439260973661,True,POINT (574319.0463345629 4819238.680294957),66.91860750140357,0.028584661
20,0,PR43,26,67,"LINESTRING (574320 4819237.360589915, 574321.7058455797 4819235)",2.9124377913526627,True,POINT (574320.8529227899 4819236.180294957),70.00304602756673,0.021844862
21,0,PR43,27,67,"LINESTRING (574321.7058455797 4819235, 574325 4819230.44147032)",5.62420182647332,True,POINT (574323.3529227899 4819232.720735161),74.27136583572486,0.023540333
22,0,PR43,27,68,"LINESTRING (574325 4819230.44147032, 574325.3190220336 4819230)",0.5446752258530032,True,POINT (574325.1595110168 4819230.220735161),77.35580436188803,0.023346264
23,0,PR43,28,68,"LINESTRING (574325.3190220336 4819230, 574328.9321984873 4819225)",6.1688770522581375,True,POINT (574327.1256102605 4819227.5),80.71258050135512,0.010437103
24,0,PR43,29,68,"LINESTRING (574328.9321984873 4819225, 574330 4819223.522350727)",1.823087338959986,True,POINT (574329.4660992436 4819224.261175363),84.708562696896,0.017035434
25,0,PR43,29,69,"LINESTRING (574330 4819223.522350727, 574332.5453749412 4819220)",4.3457897133663375,True,POINT (574331.2726874705 4819221.761175363),87.79300122305915,0.014184835
26,0,PR43,30,69,"LINESTRING (574332.5453749412 4819220, 574335 4819216.603231132)",4.190849904459645,True,POINT (574333.7726874705 4819218.301615566),92.06132103197214,0.012439726
27,0,PR43,30,70,"LINESTRING (574335 4819216.603231132, 574336.1585513951 4819215)",1.978027147866678,True,POINT (574335.5792756975 4819215.801615566),95.14575955813531,0.010839275
28,0,PR43,31,70,"LINESTRING (574336.1585513951 4819215, 574339.7717278489 4819210)",6.168877052326324,True,POINT (574337.965139622 4819212.5),99.2192116582659,0.011748662
29,0,PR43,32,70,"LINESTRING (574339.7717278489 4819210, 574340 4819209.684111537)",0.3897354176329812,True,POINT (574339.8858639244 4819209.842055769),102.49851789321146,0.011675151
30,0,PR43,32,71,"LINESTRING (574340 4819209.684111537, 574343.3849043028 4819205)",5.7791416346933415,True,POINT (574341.6924521513 4819207.342055769),105.58295641937463,0.012332298
31,0,PR43,33,71,"LINESTRING (574343.3849043028 4819205, 574345 4819202.764991943)",2.7574979831326405,True,POINT (574344.1924521513 4819203.882495971),109.85127622828762,0.013710663
32,0,PR43,33,72,"LINESTRING (574345 4819202.764991943, 574346.9980807566 4819200)",3.411379069193683,True,POINT (574345.9990403783 4819201.382495971),112.93571475445079,0.0108541725
33,0,PR43,34,72,"LINESTRING (574346.9980807566 4819200, 574350 4819195.845872348)",5.1252605486322995,True,POINT (574348.4990403783 4819197.922936174),117.20403456336376,0.008044178
34,0,PR43,34,73,"LINESTRING (574350 4819195.845872348, 574350.1366668695 4819195.656749466)",0.23333516231421114,True,POINT (574350.0683334348 4819195.751310907),119.88333241849368,0.0054688673
