,index,PR,row,col,geometry,length,bool,midpoint,dist_midpoint,mean_R
0,0,PR14,31,33,"LINESTRING (574154.194984043 4819213.105244337, 574155 4819211.991244)",1.3744262221742996,True,POINT (574154.5974920215 4819212.548244169),0.6872131107097218,0.14392594
1,0,PR14,31,34,"LINESTRING (574155 4819211.991244, 574156.4389431871 4819210)",2.4567478838560204,True,POINT (574155.7194715936 4819210.995622),2.602800164513831,0.14115618
2,0,PR14,32,34,"LINESTRING (574156.4389431871 4819210, 574160 4819205.072124406)",6.079891733969962,True,POINT (574158.2194715936 4819207.536062203),6.871119972671966,0.1512148
3,0,PR14,32,35,"LINESTRING (574160 4819205.072124406, 574160.052119641 4819205)",0.08898531835636109,True,POINT (574160.0260598205 4819205.036062203),9.955558498835128,0.15146908
4,0,PR14,33,35,"LINESTRING (574160.052119641 4819205, 574163.6652960948 4819200)",6.168877052326324,True,POINT (574161.8587078679 4819202.5),13.084489684519806,0.15565334
5,0,PR14,34,35,"LINESTRING (574163.6652960948 4819200, 574165 4819198.153004811)",2.278777247143298,True,POINT (574164.3326480475 4819199.076502405),17.308316834666137,0.15297262
6,0,PR14,34,36,"LINESTRING (574165 4819198.153004811, 574167.2784725487 4819195)",3.8900998051830253,True,POINT (574166.1392362744 4819196.576502405),20.392755360829298,0.14431778
7,0,PR14,35,36,"LINESTRING (574167.2784725487 4819195, 574170 4819191.233885217)",4.646539812642957,True,POINT (574168.6392362744 4819193.116942609),24.661075168987434,0.12312507
8,0,PR14,35,37,"LINESTRING (574170 4819191.233885217, 574170.8916490026 4819190)",1.5223372396833659,True,POINT (574170.4458245013 4819190.616942609),27.745513695150596,0.09790219
9,0,PR14,36,37,"LINESTRING (574170.8916490026 4819190, 574174.5048254564 4819185)",6.168877052326324,True,POINT (574172.6982372295 4819187.5),31.591120841498775,0.07581447
10,0,PR14,37,37,"LINESTRING (574174.5048254564 4819185, 574175 4819184.314765623)",0.8454253250614376,True,POINT (574174.7524127283 4819184.657382811),35.09827203022675,0.061350785
